file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewProductActivity.java,activity.ViewProductActivity,"ViewProductActivity/2[javax.swing.JFrame,attr.Employee]",TRUE,108,2,4,2,2,1,18,79,0,1,2,18,0,0,0,0,0,0,11,39,15,3,0,1,0,0,51,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewEmployeeActivity.java,activity.ViewEmployeeActivity,"ViewEmployeeActivity/2[javax.swing.JFrame,attr.Employee]",TRUE,22,1,3,1,2,1,18,78,0,1,2,18,0,0,0,0,0,0,11,39,14,3,0,1,0,0,51,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewEmployeeActivity.java,activity.ViewEmployeeActivity,jTable_ClickMouseClicked/1[java.awt.event.MouseEvent],FALSE,133,1,2,1,1,1,5,6,0,3,1,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,15,2,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewEmployeeActivity.java,activity.ViewEmployeeActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,114,3,3,0,3,5,9,19,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,getPhoneNumber/0,FALSE,42,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,deleteCustomer/0,FALSE,160,0,2,2,0,5,9,36,0,4,0,9,0,0,0,2,2,0,16,0,10,3,3,0,0,0,21,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,getAddress/0,FALSE,45,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,setPhoneNumber/1[int],FALSE,30,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,"updateCustomer/3[java.lang.String,int,java.lang.String]",FALSE,126,0,2,2,0,5,9,32,0,3,3,9,0,0,0,2,2,0,14,0,8,3,3,0,0,0,22,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,getCustomerName/0,FALSE,39,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
